id;name;Aadress;X;y
13386;Jõgeva Lasteaed “Karikakar”;Jõgeva maakond, Jõgeva linn, Pae tn 2;637418.9615;6513879.066
13385;Jõgeva Lasteaed “Rohutirts”;Jõgeva maakond, Jõgeva linn, Rohu tn 8;638493.0824;6514576.996
13383;Jõgeva Põhikool;Jõgeva maakond, Jõgeva linn, Rohu tn 10;638263;6514511
13382;Jõgeva Täiskasvanute Keskkool;Jõgeva maakond, Jõgeva linn, Piiri tn 1c;638202;6514287
13421;Jõgevamaa Gümnaasium;Jõgeva maakond, Jõgeva linn, Aia tn 34;638188;6514280
12167;Jõhvi Gümnaasium;Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Hariduse tn 5;694248;6584037
12153;Jõhvi lasteaed Kalevipoeg;Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Hariduse tn 7;694238.9661;6583918.04
12132;Jõhvi lasteaed Sipsik;Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Narva mnt 21;694613.9982;6585147.073
12130;Jõhvi Vene Gümnaasium;Ida-Viru maakond, Jõhvi vald, Jõhvi linn, Narva mnt 16;694518;6584991
12410;Jõõpre Kool;Pärnu maakond, Audru vald, Jõõpre küla, Jõõpre kool;519257;6481714
12411;Jõõpre Lasteaed Jõmmu;Pärnu maakond, Audru vald, Jõõpre küla, Jõõpre kool;519405.5091;6481751.265
12263;Jäneda Kool;Lääne-Viru maakond, Tapa vald, Jäneda küla, Kooli;596258;6568336
12422;Jänesselja Lasteaed;Pärnu maakond, Sauga vald, Sauga alevik, Jänesselja tn 10;528843.0435;6476663.01
12562;Järlepa Lasteaed;Rapla maakond, Juuru vald, Järlepa küla, Pärna tn 2/1;552995.0418;6555935.949
12238;Järva-Jaani Gümnaasium;Järva maakond, Järva-Jaani vald, Järva-Jaani alev, Pikk tn 1;608106;6546890
12237;Järva-Jaani Lasteaed Jaanilill;Järva maakond, Järva-Jaani vald, Järva-Jaani alev, Lai tn 4a;608132.0363;6546490.966
12581;Järvakandi Gümnaasium;Rapla maakond, Järvakandi vald, Järvakandi alev, Nõlva tn 16;546537;6515315
12582;Järvakandi Lasteaed Pesamuna;Rapla maakond, Järvakandi vald, Järvakandi alev, Pargi tn 3;547146.958;6515369.926
12871;Jüri Gümnaasium;Harju maakond, Rae vald, Jüri alevik, Laste tn 3;551697;6580074
12676;Kaagvere Erikool;Tartu maakond, Mäksa vald, Kaagvere küla, Mõisakoha;669105;6471236
12081;Kaagvere erikooli Tapa õppepunkt;Lääne-Viru maakond, Tapa vald, Tapa linn, Linda tn 10;612267;6570959
13440;Kaagvere erikooli Vastseliina õppepunkt;Võru maakond, Vastseliina vald, Vastseliina alevik, Võidu tn 32;695444;6403619
12480;Kaali Kool;Saare maakond, Pihtla vald, Kaali küla, Kooli;422207;6470939
12851;Kaarli Koguduse Lasteaed;Harju maakond, Tallinna linn, Kesklinna linnaosa, Toompuiestee 4;541839.0794;6588485.951
37778;Kaarli Kool;Harju maakond, Tallinn, Kesklinna linnaosa, Toompuiestee 4;541839;6588486
